iter	Passed	Remaining
653	54096	28619
654	54169	28531
655	54251	28449
656	54333	28365
657	54401	28275
658	54476	28188
659	54543	28098
660	54616	28010
661	54694	27925
662	54769	27838
663	54844	27752
664	54915	27664
665	54989	27577
666	55070	27493
667	55144	27407
668	55222	27322
669	55288	27231
670	55368	27148
671	55436	27058
672	55514	26973
673	55585	26885
674	55659	26799
675	55736	26714
676	55804	26624
677	55873	26535
678	55953	26452
679	56025	26364
680	56099	26278
681	56166	26189
682	56237	26101
683	56301	26010
684	56379	25926
685	56448	25838
686	56519	25750
687	56593	25664
688	56669	25579
689	56746	25494
690	56822	25409
691	56892	25322
692	56959	25233
693	57033	25147
694	57103	25059
695	57181	24975
696	57248	24887
697	57326	24803
698	57393	24714
699	57471	24630
700	57548	24546
701	57621	24460
702	57700	24377
703	57770	24289
704	57843	24203
705	57917	24118
706	57996	24035
707	58071	23950
708	58153	23868
709	58225	23782
710	58298	23696
711	58369	23610
712	58446	23526
713	58516	23439
714	58584	23351
715	58652	23264
716	58741	23185
717	58824	23103
718	58904	23020
719	58980	22936
720	59065	22856
721	59144	22773
722	59221	22689
723	59295	22604
724	59367	22518
725	59430	22429
726	59496	22342
727	59567	22256
728	59643	22172
729	59712	22085
730	59792	22002
731	59872	21920
732	59943	21834
733	60015	21749
734	60088	21664
735	60171	21583
736	60256	21502
737	60332	21418
738	60398	21331
739	60479	21249
740	60541	21161
741	60612	21075
742	60681	20989
743	60747	20902
744	60820	20817
745	60895	20733
746	60976	20651
747	61058	20570
748	61137	20488
749	61213	20404
750	61295	20322
751	61370	20239
752	61448	20156
753	61516	20070
754	61583	19983
755	61661	19901
756	61747	19821
757	61816	19735
758	61891	19651
759	61956	19565
760	62027	19480
761	62100	19396
762	62179	19314
763	62256	19231
764	62334	19148
765	62408	19064
766	62490	18983
767	62568	18900
768	62647	18818
769	62725	18736
770	62799	18652
771	62872	18568
772	62948	18485
773	63027	18403
774	63103	18320
775	63181	18237
776	63261	18156
777	63350	18076
778	63414	17990
779	63487	17906
780	63557	17822
781	63621	17735
782	63690	17651
783	63760	17566
784	63830	17482
785	63911	17400
786	63975	17314
787	64046	17230
788	64128	17149
789	64203	17066
790	64284	16985
791	64368	16904
792	64451	16824
793	64524	16740
794	64597	16657
795	64675	16575
796	64749	16492
797	64817	16407
798	64894	16325
799	64963	16240
800	65027	16155
801	65102	16072
802	65174	15989
803	65251	15907
804	65320	15822
805	65397	15740
806	65474	15658
807	65554	15577
808	65625	15493
809	65705	15412
810	65772	15327
811	65855	15247
812	65934	15165
813	66008	15082
814	66078	14999
815	66149	14915
816	66231	14835
817	66328	14757
818	66404	14675
819	66476	14592
820	66554	14510
821	66637	14430
822	66716	14348
823	66791	14266
824	66858	14182
825	66939	14101
826	67016	14019
827	67089	13936
828	67167	13854
829	67240	13772
830	67314	13689
831	67383	13606
832	67456	13523
833	67523	13439
834	67590	13356
835	67664	13273
836	67742	13192
837	67813	13109
838	67894	13028
839	67960	12944
840	68032	12862
841	68099	12778
842	68168	12695
843	68239	12612
844	68326	12533
845	68395	12450
846	68473	12368
847	68539	12285
848	68614	12203
849	68697	12123
850	68761	12039
851	68837	11957
852	68908	11875
853	68981	11793
854	69052	11710
855	69137	11630
856	69205	11547
857	69289	11467
858	69498	11407
859	69572	11325
860	69649	11244
861	69719	11161
862	69795	11079
863	69865	10997
864	69943	10916
865	70010	10833
866	70083	10750
867	70159	10669
868	70226	10586
869	70303	10505
870	70383	10424
871	70450	10341
872	70519	10258
873	70590	10176
874	70660	10094
875	70736	10012
876	70817	9932
877	70888	9850
878	70964	9768
879	71033	9686
880	71110	9605
881	71190	9524
882	71261	9442
883	71343	9361
884	71409	9279
885	71487	9198
886	71553	9115
887	71628	9034
888	71702	8952
889	71779	8871
890	71859	8790
891	71927	8708
892	72007	8628
893	72080	8546
894	72161	8465
895	72224	8383
896	72300	8302
897	72372	8220
898	72452	8139
899	72526	8058
900	72597	7976
901	72665	7894
902	72747	7814
903	72827	7733
904	72911	7653
905	72985	7572
906	73062	7491
907	73142	7410
908	73222	7330
909	73317	7251
910	73403	7171
911	73479	7090
912	73566	7010
913	73659	6930
914	73754	6851
915	73842	6771
916	73923	6690
917	74013	6611
918	74105	6531
919	74187	6451
920	74288	6372
921	74507	6303
922	74662	6228
923	74781	6150
924	74896	6072
925	75014	5994
926	75146	5917
927	75271	5840
928	75378	5760
929	75479	5681
930	75577	5601
931	75697	5522
932	75804	5443
933	75907	5363
934	76011	5284
935	76102	5203
936	76219	5124
937	76311	5044
938	76395	4962
939	76487	4882
940	76574	4801
941	76665	4720
942	76756	4639
943	76917	4562
944	77154	4490
945	77334	4414
946	77423	4333
947	77580	4255
948	77729	4177
949	77811	4095
950	77898	4013
951	77980	3931
952	78070	3850
953	78152	3768
954	78251	3687
955	78335	3605
956	78418	3523
957	78518	3442
958	78602	3360
959	78687	3278
960	78773	3196
961	78857	3114
962	78942	3033
963	79034	2951
964	79119	2869
965	79203	2787
966	79289	2705
967	79372	2623
968	79444	2541
969	79526	2459
970	79614	2377
971	79693	2295
972	79776	2213
973	79858	2131
974	79942	2049
975	80023	1967
976	80102	1885
977	80185	1803
978	80267	1721
979	80353	1639
980	80430	1557
981	80513	1475
982	80588	1393
983	80663	1311
984	80739	1229
985	80815	1147
986	80890	1065
987	80964	983
988	81039	901
989	81106	819
990	81184	737
991	81266	655
992	81344	573
993	81407	491
994	81475	409
995	81550	327
996	81633	245
997	81713	163
998	81788	81
999	81866	0
